Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR52	ERR53	ERR54	ERR55	ERR56	ERR57	ERR58	ERR59	ERR6	ERR62	ERR63	ERR64	ERR65	ERR66	ERR67	ERR68	ERR7	ERR8	ERR9
superkingdom	Main genome;Archaea;Euryarchaeota	Euryarchaeota	None	None	None	None	None	None	None	None	None	None	5.25	None	None	None	None	None	None	4.16666666667	None	None	None	2.0	None	None	None	5.0	None	None	3.25	None	None	None	None	1.0	25.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	3.25	None	None
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Archaea;Nanoarchaeaeota	Nanoarchaeaeota	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	1.0	1.0	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	8.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast)	Cyanobacteria (Chloroplast)	None	24.0	16.0	22.0	None	26.5	19.9	12.0	20.25	None	24.5714285714	26.0	10.1666666667	44.0	15.5	27.0	28.5	None	2.0	16.1666666667	40.3888888889	42.5	33.3333333333	None	19.125	11.6666666667	19.6666666667	43.5714285714	27.6666666667	33.45	34.1666666667	12.25	20.25	30.5714285714	None	23.6666666667	31.0	6.16666666667	18.5	15.9	None	12.125	54.6818181818	19.4	14.0	25.5	6.0	None	None	3.5	None	18.0	18.5	18.0	34.8888888889	5.0	19.0	23.3333333333	38.25	46.0625	None	2.5	22.25	13.0	48.0625
superkingdom	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion)	Proteobacteria (Mitochondrion)	None	None	None	None	1.0	2.0	None	None	1.0	None	None	None	None	2.0	None	2.0	None	1.0	None	None	3.25	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	3.25	None	None	None	None	None	None	None	2.0	2.0	2.0	None	None	None	None	None	2.0	None	None	None	None	None
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	22.125	51.1333333333	58.2857142857	76.880952381	63.2894736842	51.3333333333	62.8	45.5555555556	53.75	42.5555555556	61.7777777778	33.0	40.1428571429	54.5	40.0	68.0416666667	58.0833333333	50.4	18.1	39.7352941176	61.5208333333	47.5625	41.1363636364	28.0833333333	104.255102041	51.2894736842	98.6129032258	38.6428571429	23.5625	31.5	60.4444444444	28.3888888889	40.7222222222	27.2857142857	12.0	58.8	50.3	22.0	27.5625	12.5	35.05	43.2857142857	46.5625	48.3333333333	33.3461538462	22.125	41.0	9.1	8.0	28.6	6.5	36.2857142857	28.0	63.4166666667	34.0	8.0	27.2857142857	42.6	46.8	53.7222222222	None	21.125	35.1428571429	28.5	60.9074074074
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	None	55.6538461538	49.5	57.3333333333	63.1666666667	47.5555555556	57.5625	50.0	73.5	60.0	69.1875	62.5	50.4	64.2	49.7857142857	73.6818181818	55.5555555556	55.6428571429	25.1666666667	37.3888888889	60.5	60.1428571429	59.5454545455	55.1428571429	51.0869565217	35.1428571429	56.6944444444	56.125	37.125	46.0416666667	69.6666666667	61.7777777778	70.5384615385	41.0	3.0	68.225	65.7777777778	7.25	28.4	35.2272727273	42.125	36.6	56.0	44.5555555556	50.75	41.9	47.5	26.125	25.9	38.2857142857	10.5	47.75	41.9	45.3913043478	65.8928571429	39.0833333333	38.7857142857	60.8461538462	59.0	50.3888888889	None	None	46.0625	45.5	66.53125
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	None	3.5	None	21.05	19.0	3.0	13.0	21.5	9.4	3.0	6.125	None	None	5.0	3.0	16.0	8.25	6.0	None	14.0555555556	5.0	None	2.5	None	13.6428571429	3.0	9.33333333333	None	None	7.0	7.0	None	5.0	7.0	None	9.0	2.5	None	1.0	None	8.0	None	None	5.66666666667	6.0	6.0	1.0	None	None	5.25	None	7.1	None	9.0	1.0	2.5	2.5	3.0	4.0	2.5	None	None	1.0	1.0	11.05
kingdom	Main genome;Bacteria;Tenericutes;Mollicutes	Mollicutes	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	4.0	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	2.0	None	2.0	None	None	None	None	1.0	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	None	4.5	2.0	4.0	6.5	None	None	None	4.5	None	None	None	None	None	None	None	None	None	None	11.0	None	None	None	None	None	2.0	None	None	None	17.0	None	2.0	None	None	None	None	None	2.0	None	18.0	9.1	4.0	None	7.0	11.0	6.0	None	21.75	15.0	4.0	None	None	None	18.0833333333	None	4.0	None	6.5	None	None	None	None	None	None	None
